1 v 10	9 v 2	3 v 8	7 v 4	5 v 6
9 v 1	8 v 10	2 v 7	6 v 3	4 v 5
1 v 8	7 v 9	10 v 6	5 v 2	3 v 4
7 v 1	6 v 8	9 v 5	4 v 10	2 v 3
1 v 6	5 v 7	8 v 4	3 v 9	10 v 2
5 v 1	4 v 6	7 v 3	2 v 8	9 v 10
1 v 4	3 v 5	6 v 2	10 v 7	8 v 9
3 v 1	2 v 4	5 v 10	9 v 6	7 v 8
1 v 2	10 v 3	4 v 9	8 v 5	6 v 7
10 v 1	2 v 9	8 v 3	4 v 7	6 v 5
1 v 9	10 v 8	7 v 2	3 v 6	5 v 4
8 v 1	9 v 7	6 v 10	2 v 5	4 v 3
1 v 7	8 v 6	5 v 9	10 v 4	3 v 2
6 v 1	7 v 5	4 v 8	9 v 3	2 v 10
1 v 5	6 v 4	3 v 7	8 v 2	10 v 9
4 v 1	5 v 3	2 v 6	7 v 10	9 v 8
1 v 3	4 v 2	10 v 5	6 v 9	8 v 7
2 v 1	3 v 10	9 v 4	5 v 8	7 v 6
