1 v 2	4 v 3	5 v 6	8 v 7	9 v 10
2 v 4	6 v 1	3 v 8	9 v 5	10 v 7
4 v 6	8 v 2	1 v 9	7 v 3	5 v 10
6 v 8	9 v 4	2 v 7	5 v 1	10 v 3
8 v 9	7 v 6	4 v 5	3 v 2	1 v 10
9 v 7	5 v 8	6 v 3	1 v 4	10 v 2
7 v 5	3 v 9	8 v 1	2 v 6	4 v 10
5 v 3	1 v 7	9 v 2	4 v 8	10 v 6
3 v 1	2 v 5	7 v 4	6 v 9	8 v 10
2 v 1	3 v 4	6 v 5	7 v 8	10 v 9
4 v 2	1 v 6	8 v 3	5 v 9	7 v 10
6 v 4	2 v 8	9 v 1	3 v 7	10 v 5
8 v 6	4 v 9	7 v 2	1 v 5	3 v 10
9 v 8	6 v 7	5 v 4	2 v 3	10 v 1
7 v 9	8 v 5	3 v 6	4 v 1	2 v 10
5 v 7	9 v 3	1 v 8	6 v 2	10 v 4
3 v 5	7 v 1	2 v 9	8 v 4	6 v 10
1 v 3	5 v 2	4 v 7	9 v 6	10 v 8
