1 v 20	19 v 2	3 v 18	17 v 4	5 v 16	15 v 6	7 v 14	13 v 8	9 v 12	11 v 10	22 v 21
21 v 19	18 v 1	2 v 17	16 v 3	4 v 15	14 v 5	6 v 13	12 v 7	8 v 11	10 v 9	20 v 22
20 v 18	17 v 21	1 v 16	15 v 2	3 v 14	13 v 4	5 v 12	11 v 6	7 v 10	9 v 8	22 v 19
19 v 17	16 v 20	21 v 15	14 v 1	2 v 13	12 v 3	4 v 11	10 v 5	6 v 9	8 v 7	18 v 22
18 v 16	15 v 19	20 v 14	13 v 21	1 v 12	11 v 2	3 v 10	9 v 4	5 v 8	7 v 6	22 v 17
17 v 15	14 v 18	19 v 13	12 v 20	21 v 11	10 v 1	2 v 9	8 v 3	4 v 7	6 v 5	16 v 22
16 v 14	13 v 17	18 v 12	11 v 19	20 v 10	9 v 21	1 v 8	7 v 2	3 v 6	5 v 4	22 v 15
15 v 13	12 v 16	17 v 11	10 v 18	19 v 9	8 v 20	21 v 7	6 v 1	2 v 5	4 v 3	14 v 22
14 v 12	11 v 15	16 v 10	9 v 17	18 v 8	7 v 19	20 v 6	5 v 21	1 v 4	3 v 2	22 v 13
13 v 11	10 v 14	15 v 9	8 v 16	17 v 7	6 v 18	19 v 5	4 v 20	21 v 3	2 v 1	12 v 22
12 v 10	9 v 13	14 v 8	7 v 15	16 v 6	5 v 17	18 v 4	3 v 19	20 v 2	1 v 21	22 v 11
11 v 9	8 v 12	13 v 7	6 v 14	15 v 5	4 v 16	17 v 3	2 v 18	19 v 1	21 v 20	10 v 22
10 v 8	7 v 11	12 v 6	5 v 13	14 v 4	3 v 15	16 v 2	1 v 17	18 v 21	20 v 19	22 v 9
9 v 7	6 v 10	11 v 5	4 v 12	13 v 3	2 v 14	15 v 1	21 v 16	17 v 20	19 v 18	8 v 22
8 v 6	5 v 9	10 v 4	3 v 11	12 v 2	1 v 13	14 v 21	20 v 15	16 v 19	18 v 17	22 v 7
7 v 5	4 v 8	9 v 3	2 v 10	11 v 1	21 v 12	13 v 20	19 v 14	15 v 18	17 v 16	6 v 22
6 v 4	3 v 7	8 v 2	1 v 9	10 v 21	20 v 11	12 v 19	18 v 13	14 v 17	16 v 15	22 v 5
5 v 3	2 v 6	7 v 1	21 v 8	9 v 20	19 v 10	11 v 18	17 v 12	13 v 16	15 v 14	4 v 22
4 v 2	1 v 5	6 v 21	20 v 7	8 v 19	18 v 9	10 v 17	16 v 11	12 v 15	14 v 13	22 v 3
3 v 1	21 v 4	5 v 20	19 v 6	7 v 18	17 v 8	9 v 16	15 v 10	11 v 14	13 v 12	2 v 22
2 v 21	20 v 3	4 v 19	18 v 5	6 v 17	16 v 7	8 v 15	14 v 9	10 v 13	12 v 11	22 v 1
20 v 1	2 v 19	18 v 3	4 v 17	16 v 5	6 v 15	14 v 7	8 v 13	12 v 9	10 v 11	21 v 22
19 v 21	1 v 18	17 v 2	3 v 16	15 v 4	5 v 14	13 v 6	7 v 12	11 v 8	9 v 10	22 v 20
18 v 20	21 v 17	16 v 1	2 v 15	14 v 3	4 v 13	12 v 5	6 v 11	10 v 7	8 v 9	19 v 22
17 v 19	20 v 16	15 v 21	1 v 14	13 v 2	3 v 12	11 v 4	5 v 10	9 v 6	7 v 8	22 v 18
16 v 18	19 v 15	14 v 20	21 v 13	12 v 1	2 v 11	10 v 3	4 v 9	8 v 5	6 v 7	17 v 22
15 v 17	18 v 14	13 v 19	20 v 12	11 v 21	1 v 10	9 v 2	3 v 8	7 v 4	5 v 6	22 v 16
14 v 16	17 v 13	12 v 18	19 v 11	10 v 20	21 v 9	8 v 1	2 v 7	6 v 3	4 v 5	15 v 22
13 v 15	16 v 12	11 v 17	18 v 10	9 v 19	20 v 8	7 v 21	1 v 6	5 v 2	3 v 4	22 v 14
12 v 14	15 v 11	10 v 16	17 v 9	8 v 18	19 v 7	6 v 20	21 v 5	4 v 1	2 v 3	13 v 22
11 v 13	14 v 10	9 v 15	16 v 8	7 v 17	18 v 6	5 v 19	20 v 4	3 v 21	1 v 2	22 v 12
10 v 12	13 v 9	8 v 14	15 v 7	6 v 16	17 v 5	4 v 18	19 v 3	2 v 20	21 v 1	11 v 22
9 v 11	12 v 8	7 v 13	14 v 6	5 v 15	16 v 4	3 v 17	18 v 2	1 v 19	20 v 21	22 v 10
8 v 10	11 v 7	6 v 12	13 v 5	4 v 14	15 v 3	2 v 16	17 v 1	21 v 18	19 v 20	9 v 22
7 v 9	10 v 6	5 v 11	12 v 4	3 v 13	14 v 2	1 v 15	16 v 21	20 v 17	18 v 19	22 v 8
6 v 8	9 v 5	4 v 10	11 v 3	2 v 12	13 v 1	21 v 14	15 v 20	19 v 16	17 v 18	7 v 22
5 v 7	8 v 4	3 v 9	10 v 2	1 v 11	12 v 21	20 v 13	14 v 19	18 v 15	16 v 17	22 v 6
4 v 6	7 v 3	2 v 8	9 v 1	21 v 10	11 v 20	19 v 12	13 v 18	17 v 14	15 v 16	5 v 22
3 v 5	6 v 2	1 v 7	8 v 21	20 v 9	10 v 19	18 v 11	12 v 17	16 v 13	14 v 15	22 v 4
2 v 4	5 v 1	21 v 6	7 v 20	19 v 8	9 v 18	17 v 10	11 v 16	15 v 12	13 v 14	3 v 22
1 v 3	4 v 21	20 v 5	6 v 19	18 v 7	8 v 17	16 v 9	10 v 15	14 v 11	12 v 13	22 v 2
21 v 2	3 v 20	19 v 4	5 v 18	17 v 6	7 v 16	15 v 8	9 v 14	13 v 10	11 v 12	1 v 22
