6 v 14	11 v 9	12 v 8	13 v 7	10 v 1	2 v 5	3 v 4
13 v 6	4 v 2	5 v 14	3 v 1	7 v 12	8 v 11	9 v 10
3 v 10	14 v 12	2 v 11	1 v 13	4 v 9	5 v 8	6 v 7
9 v 5	8 v 6	1 v 7	10 v 4	11 v 3	12 v 2	13 v 14
7 v 11	10 v 8	9 v 1	12 v 6	13 v 5	14 v 4	2 v 3
2 v 13	1 v 14	3 v 12	4 v 11	5 v 10	6 v 9	7 v 8
1 v 8	9 v 7	10 v 6	11 v 5	12 v 4	13 v 3	14 v 2
12 v 9	5 v 3	6 v 2	7 v 14	8 v 13	4 v 1	10 v 11
4 v 7	13 v 11	14 v 10	2 v 9	3 v 8	1 v 12	5 v 6
10 v 2	7 v 5	8 v 4	9 v 3	1 v 6	11 v 14	12 v 13
14 v 3	2 v 1	4 v 13	5 v 12	6 v 11	7 v 10	8 v 9
5 v 4	12 v 10	13 v 9	14 v 8	2 v 7	3 v 6	11 v 1
11 v 12	6 v 4	7 v 3	8 v 2	9 v 14	10 v 13	1 v 5
4 v 3	14 v 6	9 v 11	8 v 12	7 v 13	1 v 10	5 v 2
10 v 9	6 v 13	2 v 4	14 v 5	1 v 3	12 v 7	11 v 8
7 v 6	10 v 3	12 v 14	11 v 2	13 v 1	9 v 4	8 v 5
14 v 13	5 v 9	6 v 8	7 v 1	4 v 10	3 v 11	2 v 12
3 v 2	11 v 7	8 v 10	1 v 9	6 v 12	5 v 13	4 v 14
8 v 7	13 v 2	14 v 1	12 v 3	11 v 4	10 v 5	9 v 6
2 v 14	8 v 1	7 v 9	6 v 10	5 v 11	4 v 12	3 v 13
11 v 10	9 v 12	3 v 5	2 v 6	14 v 7	13 v 8	1 v 4
6 v 5	7 v 4	11 v 13	10 v 14	9 v 2	8 v 3	12 v 1
13 v 12	2 v 10	5 v 7	4 v 8	3 v 9	6 v 1	14 v 11
9 v 8	3 v 14	1 v 2	13 v 4	12 v 5	11 v 6	10 v 7
1 v 11	4 v 5	10 v 12	9 v 13	8 v 14	7 v 2	6 v 3
5 v 1	12 v 11	4 v 6	3 v 7	2 v 8	14 v 9	13 v 10
