13 v 12	8 v 2	3 v 6	9 v 15	4 v 5	10 v 16	11 v 14	1 v 7
7 v 8	6 v 4	5 v 1	10 v 11	16 v 15	14 v 12	9 v 13	3 v 2
12 v 3	2 v 10	16 v 5	8 v 14	9 v 6	11 v 7	13 v 4	15 v 1
1 v 2	11 v 13	12 v 15	6 v 8	10 v 9	3 v 5	4 v 7	16 v 14
4 v 16	14 v 1	6 v 12	7 v 10	5 v 13	8 v 15	3 v 9	2 v 11
14 v 7	16 v 6	1 v 10	12 v 4	15 v 2	13 v 3	8 v 11	9 v 5
2 v 13	3 v 15	8 v 9	11 v 5	7 v 16	6 v 14	12 v 1	4 v 10
15 v 14	1 v 3	4 v 8	5 v 2	6 v 7	9 v 11	16 v 12	10 v 13
5 v 15	13 v 8	11 v 3	2 v 9	14 v 4	16 v 1	10 v 6	7 v 12
11 v 6	7 v 9	15 v 4	1 v 13	3 v 10	12 v 2	14 v 5	8 v 16
16 v 11	5 v 7	10 v 14	4 v 1	8 v 3	15 v 13	6 v 2	12 v 9
6 v 5	10 v 12	9 v 16	3 v 7	13 v 14	2 v 4	1 v 8	11 v 15
9 v 1	4 v 11	7 v 13	15 v 6	12 v 8	5 v 10	2 v 16	14 v 3
8 v 10	12 v 5	14 v 2	16 v 3	1 v 11	4 v 9	7 v 15	13 v 6
3 v 4	9 v 14	2 v 7	13 v 16	11 v 12	1 v 6	15 v 10	5 v 8
7 v 1	12 v 13	2 v 8	6 v 3	15 v 9	5 v 4	16 v 10	14 v 11
2 v 3	8 v 7	4 v 6	1 v 5	11 v 10	15 v 16	12 v 14	13 v 9
1 v 15	3 v 12	10 v 2	5 v 16	14 v 8	6 v 9	7 v 11	4 v 13
14 v 16	2 v 1	13 v 11	15 v 12	8 v 6	9 v 10	5 v 3	7 v 4
11 v 2	16 v 4	1 v 14	12 v 6	10 v 7	13 v 5	15 v 8	9 v 3
5 v 9	7 v 14	6 v 16	10 v 1	4 v 12	2 v 15	3 v 13	11 v 8
10 v 4	13 v 2	15 v 3	9 v 8	5 v 11	16 v 7	14 v 6	1 v 12
13 v 10	14 v 15	3 v 1	8 v 4	2 v 5	7 v 6	11 v 9	12 v 16
12 v 7	15 v 5	8 v 13	3 v 11	9 v 2	4 v 14	1 v 16	6 v 10
16 v 8	6 v 11	9 v 7	4 v 15	13 v 1	10 v 3	2 v 12	5 v 14
9 v 12	11 v 16	7 v 5	14 v 10	1 v 4	3 v 8	13 v 15	2 v 6
15 v 11	5 v 6	12 v 10	16 v 9	7 v 3	14 v 13	4 v 2	8 v 1
3 v 14	1 v 9	11 v 4	13 v 7	6 v 15	8 v 12	10 v 5	16 v 2
6 v 13	10 v 8	5 v 12	2 v 14	3 v 16	11 v 1	9 v 4	15 v 7
8 v 5	4 v 3	14 v 9	7 v 2	16 v 13	12 v 11	6 v 1	10 v 15
