6 v 5	15 v 13	16 v 12	17 v 11	18 v 10	2 v 9	3 v 8	4 v 7	14 v 1
13 v 18	8 v 6	9 v 5	10 v 4	11 v 3	12 v 2	1 v 7	14 v 17	15 v 16
16 v 9	5 v 3	6 v 2	7 v 18	8 v 17	4 v 1	10 v 15	11 v 14	12 v 13
4 v 11	17 v 15	18 v 14	2 v 13	3 v 12	1 v 16	5 v 10	6 v 9	7 v 8
1 v 10	11 v 9	12 v 8	13 v 7	14 v 6	15 v 5	16 v 4	17 v 3	18 v 2
15 v 12	6 v 4	7 v 3	8 v 2	9 v 18	10 v 17	11 v 16	5 v 1	13 v 14
2 v 17	1 v 18	3 v 16	4 v 15	5 v 14	6 v 13	7 v 12	8 v 11	9 v 10
9 v 13	12 v 10	11 v 1	14 v 8	15 v 7	16 v 6	17 v 5	18 v 4	2 v 3
11 v 7	10 v 8	1 v 9	12 v 6	13 v 5	14 v 4	15 v 3	16 v 2	17 v 18
3 v 14	18 v 16	2 v 15	1 v 17	4 v 13	5 v 12	6 v 11	7 v 10	8 v 9
17 v 6	4 v 2	5 v 18	3 v 1	7 v 16	8 v 15	9 v 14	10 v 13	11 v 12
12 v 4	9 v 7	10 v 6	11 v 5	1 v 8	13 v 3	14 v 2	15 v 18	16 v 17
18 v 3	2 v 1	4 v 17	5 v 16	6 v 15	7 v 14	8 v 13	9 v 12	10 v 11
7 v 2	14 v 12	15 v 11	16 v 10	17 v 9	18 v 8	13 v 1	3 v 6	4 v 5
14 v 15	7 v 5	8 v 4	9 v 3	10 v 2	11 v 18	12 v 17	13 v 16	1 v 6
5 v 8	16 v 14	17 v 13	18 v 12	2 v 11	3 v 10	4 v 9	1 v 15	6 v 7
8 v 16	13 v 11	14 v 10	15 v 9	12 v 1	17 v 7	18 v 6	2 v 5	3 v 4
1 v 14	5 v 6	13 v 15	12 v 16	11 v 17	10 v 18	9 v 2	8 v 3	7 v 4
16 v 15	18 v 13	6 v 8	5 v 9	4 v 10	3 v 11	2 v 12	7 v 1	17 v 14
13 v 12	9 v 16	3 v 5	2 v 6	18 v 7	17 v 8	1 v 4	15 v 10	14 v 11
8 v 7	11 v 4	15 v 17	14 v 18	13 v 2	12 v 3	16 v 1	10 v 5	9 v 6
2 v 18	10 v 1	9 v 11	8 v 12	7 v 13	6 v 14	5 v 15	4 v 16	3 v 17
14 v 13	12 v 15	4 v 6	3 v 7	2 v 8	18 v 9	17 v 10	16 v 11	1 v 5
10 v 9	17 v 2	18 v 1	16 v 3	15 v 4	14 v 5	13 v 6	12 v 7	11 v 8
3 v 2	13 v 9	10 v 12	1 v 11	8 v 14	7 v 15	6 v 16	5 v 17	4 v 18
18 v 17	7 v 11	8 v 10	9 v 1	6 v 12	5 v 13	4 v 14	3 v 15	2 v 16
9 v 8	14 v 3	16 v 18	15 v 2	17 v 1	13 v 4	12 v 5	11 v 6	10 v 7
12 v 11	6 v 17	2 v 4	18 v 5	1 v 3	16 v 7	15 v 8	14 v 9	13 v 10
17 v 16	4 v 12	7 v 9	6 v 10	5 v 11	8 v 1	3 v 13	2 v 14	18 v 15
11 v 10	3 v 18	1 v 2	17 v 4	16 v 5	15 v 6	14 v 7	13 v 8	12 v 9
5 v 4	2 v 7	12 v 14	11 v 15	10 v 16	9 v 17	8 v 18	1 v 13	6 v 3
6 v 1	15 v 14	5 v 7	4 v 8	3 v 9	2 v 10	18 v 11	17 v 12	16 v 13
7 v 6	8 v 5	14 v 16	13 v 17	12 v 18	11 v 2	10 v 3	9 v 4	15 v 1
4 v 3	16 v 8	11 v 13	10 v 14	9 v 15	1 v 12	7 v 17	6 v 18	5 v 2
