2 v 11	14 v 12	4 v 13	3 v 5	17 v 15	18 v 16	6 v 8	9 v 7	19 v 21	22 v 20	1 v 10
11 v 13	1 v 14	15 v 2	16 v 3	4 v 17	5 v 18	19 v 6	7 v 20	21 v 8	9 v 22	10 v 12
22 v 2	3 v 1	13 v 15	14 v 16	6 v 4	7 v 5	17 v 19	20 v 18	8 v 10	11 v 9	12 v 21
6 v 18	8 v 7	20 v 19	9 v 10	22 v 21	1 v 11	13 v 12	2 v 3	15 v 14	5 v 4	16 v 17
4 v 20	10 v 5	11 v 6	1 v 7	8 v 2	9 v 3	21 v 15	22 v 16	17 v 12	18 v 13	19 v 14
20 v 15	5 v 21	6 v 22	7 v 12	13 v 8	14 v 9	10 v 4	16 v 11	1 v 17	2 v 18	3 v 19
3 v 10	4 v 11	12 v 16	2 v 6	14 v 7	15 v 19	5 v 9	17 v 21	18 v 22	8 v 1	20 v 13
21 v 3	15 v 22	1 v 5	13 v 17	18 v 14	4 v 8	16 v 20	6 v 10	7 v 11	19 v 12	9 v 2
10 v 14	11 v 15	16 v 1	17 v 2	3 v 18	19 v 4	20 v 5	21 v 6	22 v 7	12 v 8	13 v 9
14 v 21	22 v 4	5 v 12	6 v 13	7 v 3	8 v 15	9 v 16	10 v 17	11 v 18	1 v 19	2 v 20
13 v 22	12 v 3	2 v 4	5 v 14	15 v 6	16 v 7	8 v 17	18 v 9	10 v 19	20 v 11	21 v 1
5 v 8	6 v 9	10 v 7	22 v 19	12 v 20	13 v 21	3 v 11	4 v 1	16 v 2	14 v 17	18 v 15
19 v 5	17 v 20	21 v 18	11 v 8	1 v 9	2 v 10	14 v 22	15 v 12	13 v 16	3 v 6	7 v 4
8 v 16	9 v 17	18 v 10	19 v 11	20 v 1	21 v 2	22 v 3	12 v 4	5 v 13	6 v 14	15 v 7
16 v 19	20 v 6	7 v 21	8 v 22	9 v 12	10 v 13	11 v 14	1 v 15	2 v 5	17 v 3	4 v 18
15 v 9	16 v 10	17 v 11	18 v 1	2 v 19	3 v 20	4 v 21	5 v 22	12 v 6	13 v 7	14 v 8
9 v 4	21 v 16	22 v 17	12 v 18	19 v 13	20 v 14	15 v 10	11 v 5	6 v 1	7 v 2	8 v 3
18 v 17	7 v 19	8 v 20	21 v 9	10 v 22	11 v 12	1 v 13	14 v 2	3 v 15	4 v 16	5 v 6
7 v 6	19 v 18	9 v 8	20 v 21	11 v 10	12 v 22	2 v 1	13 v 14	4 v 3	16 v 15	17 v 5
17 v 7	18 v 8	19 v 9	10 v 20	21 v 11	22 v 1	12 v 2	3 v 13	14 v 4	15 v 5	6 v 16
1 v 12	2 v 13	3 v 14	4 v 15	5 v 16	6 v 17	7 v 18	8 v 19	9 v 20	10 v 21	11 v 22
10 v 1	11 v 2	12 v 14	13 v 4	5 v 3	15 v 17	16 v 18	8 v 6	7 v 9	21 v 19	20 v 22
12 v 10	13 v 11	14 v 1	2 v 15	3 v 16	17 v 4	18 v 5	6 v 19	20 v 7	8 v 21	22 v 9
21 v 12	2 v 22	1 v 3	15 v 13	16 v 14	4 v 6	5 v 7	19 v 17	18 v 20	10 v 8	9 v 11
17 v 16	18 v 6	7 v 8	19 v 20	10 v 9	21 v 22	11 v 1	12 v 13	3 v 2	14 v 15	4 v 5
14 v 19	20 v 4	5 v 10	6 v 11	7 v 1	2 v 8	3 v 9	15 v 21	16 v 22	12 v 17	13 v 18
19 v 3	15 v 20	21 v 5	22 v 6	12 v 7	8 v 13	9 v 14	4 v 10	11 v 16	17 v 1	18 v 2
13 v 20	10 v 3	11 v 4	16 v 12	6 v 2	7 v 14	19 v 15	9 v 5	21 v 17	22 v 18	1 v 8
2 v 9	3 v 21	22 v 15	5 v 1	17 v 13	14 v 18	8 v 4	20 v 16	10 v 6	11 v 7	12 v 19
9 v 13	14 v 10	15 v 11	1 v 16	2 v 17	18 v 3	4 v 19	5 v 20	6 v 21	7 v 22	8 v 12
20 v 2	21 v 14	4 v 22	12 v 5	13 v 6	3 v 7	15 v 8	16 v 9	17 v 10	18 v 11	19 v 1
1 v 21	22 v 13	3 v 12	4 v 2	14 v 5	6 v 15	7 v 16	17 v 8	9 v 18	19 v 10	11 v 20
15 v 18	8 v 5	9 v 6	7 v 10	19 v 22	20 v 12	21 v 13	11 v 3	1 v 4	2 v 16	17 v 14
4 v 7	5 v 19	20 v 17	18 v 21	8 v 11	9 v 1	10 v 2	22 v 14	12 v 15	16 v 13	6 v 3
7 v 15	16 v 8	17 v 9	10 v 18	11 v 19	1 v 20	2 v 21	3 v 22	4 v 12	13 v 5	14 v 6
18 v 4	19 v 16	6 v 20	21 v 7	22 v 8	12 v 9	13 v 10	14 v 11	15 v 1	5 v 2	3 v 17
8 v 14	9 v 15	10 v 16	11 v 17	1 v 18	19 v 2	20 v 3	21 v 4	22 v 5	6 v 12	7 v 13
3 v 8	4 v 9	16 v 21	17 v 22	18 v 12	13 v 19	14 v 20	10 v 15	5 v 11	1 v 6	2 v 7
6 v 5	17 v 18	19 v 7	20 v 8	9 v 21	22 v 10	12 v 11	13 v 1	2 v 14	15 v 3	16 v 4
5 v 17	6 v 7	18 v 19	8 v 9	21 v 20	10 v 11	22 v 12	1 v 2	14 v 13	3 v 4	15 v 16
16 v 6	7 v 17	8 v 18	9 v 19	20 v 10	11 v 21	1 v 22	2 v 12	13 v 3	4 v 14	5 v 15
22 v 11	12 v 1	13 v 2	14 v 3	15 v 4	16 v 5	17 v 6	18 v 7	19 v 8	20 v 9	21 v 10
