1 v 24	23 v 2	3 v 22	21 v 4	5 v 20	19 v 6	7 v 18	17 v 8	9 v 16	15 v 10	11 v 14	13 v 12
23 v 1	22 v 24	2 v 21	20 v 3	4 v 19	18 v 5	6 v 17	16 v 7	8 v 15	14 v 9	10 v 13	12 v 11
1 v 22	21 v 23	24 v 20	19 v 2	3 v 18	17 v 4	5 v 16	15 v 6	7 v 14	13 v 8	9 v 12	11 v 10
21 v 1	20 v 22	23 v 19	18 v 24	2 v 17	16 v 3	4 v 15	14 v 5	6 v 13	12 v 7	8 v 11	10 v 9
1 v 20	19 v 21	22 v 18	17 v 23	24 v 16	15 v 2	3 v 14	13 v 4	5 v 12	11 v 6	7 v 10	9 v 8
19 v 1	18 v 20	21 v 17	16 v 22	23 v 15	14 v 24	2 v 13	12 v 3	4 v 11	10 v 5	6 v 9	8 v 7
1 v 18	17 v 19	20 v 16	15 v 21	22 v 14	13 v 23	24 v 12	11 v 2	3 v 10	9 v 4	5 v 8	7 v 6
17 v 1	16 v 18	19 v 15	14 v 20	21 v 13	12 v 22	23 v 11	10 v 24	2 v 9	8 v 3	4 v 7	6 v 5
1 v 16	15 v 17	18 v 14	13 v 19	20 v 12	11 v 21	22 v 10	9 v 23	24 v 8	7 v 2	3 v 6	5 v 4
15 v 1	14 v 16	17 v 13	12 v 18	19 v 11	10 v 20	21 v 9	8 v 22	23 v 7	6 v 24	2 v 5	4 v 3
1 v 14	13 v 15	16 v 12	11 v 17	18 v 10	9 v 19	20 v 8	7 v 21	22 v 6	5 v 23	24 v 4	3 v 2
13 v 1	12 v 14	15 v 11	10 v 16	17 v 9	8 v 18	19 v 7	6 v 20	21 v 5	4 v 22	23 v 3	2 v 24
1 v 12	11 v 13	14 v 10	9 v 15	16 v 8	7 v 17	18 v 6	5 v 19	20 v 4	3 v 21	22 v 2	24 v 23
11 v 1	10 v 12	13 v 9	8 v 14	15 v 7	6 v 16	17 v 5	4 v 18	19 v 3	2 v 20	21 v 24	23 v 22
1 v 10	9 v 11	12 v 8	7 v 13	14 v 6	5 v 15	16 v 4	3 v 17	18 v 2	24 v 19	20 v 23	22 v 21
9 v 1	8 v 10	11 v 7	6 v 12	13 v 5	4 v 14	15 v 3	2 v 16	17 v 24	23 v 18	19 v 22	21 v 20
1 v 8	7 v 9	10 v 6	5 v 11	12 v 4	3 v 13	14 v 2	24 v 15	16 v 23	22 v 17	18 v 21	20 v 19
7 v 1	6 v 8	9 v 5	4 v 10	11 v 3	2 v 12	13 v 24	23 v 14	15 v 22	21 v 16	17 v 20	19 v 18
1 v 6	5 v 7	8 v 4	3 v 9	10 v 2	24 v 11	12 v 23	22 v 13	14 v 21	20 v 15	16 v 19	18 v 17
5 v 1	4 v 6	7 v 3	2 v 8	9 v 24	23 v 10	11 v 22	21 v 12	13 v 20	19 v 14	15 v 18	17 v 16
1 v 4	3 v 5	6 v 2	24 v 7	8 v 23	22 v 9	10 v 21	20 v 11	12 v 19	18 v 13	14 v 17	16 v 15
3 v 1	2 v 4	5 v 24	23 v 6	7 v 22	21 v 8	9 v 20	19 v 10	11 v 18	17 v 12	13 v 16	15 v 14
1 v 2	24 v 3	4 v 23	22 v 5	6 v 21	20 v 7	8 v 19	18 v 9	10 v 17	16 v 11	12 v 15	14 v 13
24 v 1	2 v 23	22 v 3	4 v 21	20 v 5	6 v 19	18 v 7	8 v 17	16 v 9	10 v 15	14 v 11	12 v 13
1 v 23	24 v 22	21 v 2	3 v 20	19 v 4	5 v 18	17 v 6	7 v 16	15 v 8	9 v 14	13 v 10	11 v 12
22 v 1	23 v 21	20 v 24	2 v 19	18 v 3	4 v 17	16 v 5	6 v 15	14 v 7	8 v 13	12 v 9	10 v 11
1 v 21	22 v 20	19 v 23	24 v 18	17 v 2	3 v 16	15 v 4	5 v 14	13 v 6	7 v 12	11 v 8	9 v 10
20 v 1	21 v 19	18 v 22	23 v 17	16 v 24	2 v 15	14 v 3	4 v 13	12 v 5	6 v 11	10 v 7	8 v 9
1 v 19	20 v 18	17 v 21	22 v 16	15 v 23	24 v 14	13 v 2	3 v 12	11 v 4	5 v 10	9 v 6	7 v 8
18 v 1	19 v 17	16 v 20	21 v 15	14 v 22	23 v 13	12 v 24	2 v 11	10 v 3	4 v 9	8 v 5	6 v 7
1 v 17	18 v 16	15 v 19	20 v 14	13 v 21	22 v 12	11 v 23	24 v 10	9 v 2	3 v 8	7 v 4	5 v 6
16 v 1	17 v 15	14 v 18	19 v 13	12 v 20	21 v 11	10 v 22	23 v 9	8 v 24	2 v 7	6 v 3	4 v 5
1 v 15	16 v 14	13 v 17	18 v 12	11 v 19	20 v 10	9 v 21	22 v 8	7 v 23	24 v 6	5 v 2	3 v 4
14 v 1	15 v 13	12 v 16	17 v 11	10 v 18	19 v 9	8 v 20	21 v 7	6 v 22	23 v 5	4 v 24	2 v 3
1 v 13	14 v 12	11 v 15	16 v 10	9 v 17	18 v 8	7 v 19	20 v 6	5 v 21	22 v 4	3 v 23	24 v 2
12 v 1	13 v 11	10 v 14	15 v 9	8 v 16	17 v 7	6 v 18	19 v 5	4 v 20	21 v 3	2 v 22	23 v 24
1 v 11	12 v 10	9 v 13	14 v 8	7 v 15	16 v 6	5 v 17	18 v 4	3 v 19	20 v 2	24 v 21	22 v 23
10 v 1	11 v 9	8 v 12	13 v 7	6 v 14	15 v 5	4 v 16	17 v 3	2 v 18	19 v 24	23 v 20	21 v 22
1 v 9	10 v 8	7 v 11	12 v 6	5 v 13	14 v 4	3 v 15	16 v 2	24 v 17	18 v 23	22 v 19	20 v 21
8 v 1	9 v 7	6 v 10	11 v 5	4 v 12	13 v 3	2 v 14	15 v 24	23 v 16	17 v 22	21 v 18	19 v 20
1 v 7	8 v 6	5 v 9	10 v 4	3 v 11	12 v 2	24 v 13	14 v 23	22 v 15	16 v 21	20 v 17	18 v 19
6 v 1	7 v 5	4 v 8	9 v 3	2 v 10	11 v 24	23 v 12	13 v 22	21 v 14	15 v 20	19 v 16	17 v 18
1 v 5	6 v 4	3 v 7	8 v 2	24 v 9	10 v 23	22 v 11	12 v 21	20 v 13	14 v 19	18 v 15	16 v 17
4 v 1	5 v 3	2 v 6	7 v 24	23 v 8	9 v 22	21 v 10	11 v 20	19 v 12	13 v 18	17 v 14	15 v 16
1 v 3	4 v 2	24 v 5	6 v 23	22 v 7	8 v 21	20 v 9	10 v 19	18 v 11	12 v 17	16 v 13	14 v 15
2 v 1	3 v 24	23 v 4	5 v 22	21 v 6	7 v 20	19 v 8	9 v 18	17 v 10	11 v 16	15 v 12	13 v 14
