23 v 2	1 v 24	3 v 22	21 v 4	5 v 20	19 v 6	7 v 18	17 v 8	9 v 16	15 v 10	11 v 14	13 v 12
22 v 24	23 v 1	2 v 21	20 v 3	4 v 19	18 v 5	6 v 17	16 v 7	8 v 15	14 v 9	10 v 13	12 v 11
19 v 2	21 v 23	24 v 20	1 v 22	3 v 18	17 v 4	5 v 16	15 v 6	7 v 14	13 v 8	9 v 12	11 v 10
16 v 3	20 v 22	23 v 19	18 v 24	2 v 17	21 v 1	4 v 15	14 v 5	6 v 13	12 v 7	8 v 11	10 v 9
13 v 4	19 v 21	22 v 18	17 v 23	24 v 16	15 v 2	3 v 14	1 v 20	5 v 12	11 v 6	7 v 10	9 v 8
10 v 5	18 v 20	21 v 17	16 v 22	23 v 15	14 v 24	2 v 13	12 v 3	4 v 11	19 v 1	6 v 9	8 v 7
7 v 6	17 v 19	20 v 16	15 v 21	22 v 14	13 v 23	24 v 12	11 v 2	3 v 10	9 v 4	5 v 8	1 v 18
4 v 7	16 v 18	19 v 15	14 v 20	21 v 13	12 v 22	23 v 11	10 v 24	2 v 9	8 v 3	17 v 1	6 v 5
24 v 8	15 v 17	18 v 14	13 v 19	20 v 12	11 v 21	22 v 10	9 v 23	1 v 16	7 v 2	3 v 6	5 v 4
21 v 9	14 v 16	17 v 13	12 v 18	19 v 11	10 v 20	15 v 1	8 v 22	23 v 7	6 v 24	2 v 5	4 v 3
18 v 10	13 v 15	16 v 12	11 v 17	1 v 14	9 v 19	20 v 8	7 v 21	22 v 6	5 v 23	24 v 4	3 v 2
15 v 11	12 v 14	13 v 1	10 v 16	17 v 9	8 v 18	19 v 7	6 v 20	21 v 5	4 v 22	23 v 3	2 v 24
1 v 12	11 v 13	14 v 10	9 v 15	16 v 8	7 v 17	18 v 6	5 v 19	20 v 4	3 v 21	22 v 2	24 v 23
13 v 9	10 v 12	11 v 1	8 v 14	15 v 7	6 v 16	17 v 5	4 v 18	19 v 3	2 v 20	21 v 24	23 v 22
14 v 6	9 v 11	12 v 8	7 v 13	1 v 10	5 v 15	16 v 4	3 v 17	18 v 2	24 v 19	20 v 23	22 v 21
15 v 3	8 v 10	11 v 7	6 v 12	13 v 5	4 v 14	9 v 1	2 v 16	17 v 24	23 v 18	19 v 22	21 v 20
16 v 23	7 v 9	10 v 6	5 v 11	12 v 4	3 v 13	14 v 2	24 v 15	1 v 8	22 v 17	18 v 21	20 v 19
17 v 20	6 v 8	9 v 5	4 v 10	11 v 3	2 v 12	13 v 24	23 v 14	15 v 22	21 v 16	7 v 1	19 v 18
18 v 17	5 v 7	8 v 4	3 v 9	10 v 2	24 v 11	12 v 23	22 v 13	14 v 21	20 v 15	16 v 19	1 v 6
19 v 14	4 v 6	7 v 3	2 v 8	9 v 24	23 v 10	11 v 22	21 v 12	13 v 20	5 v 1	15 v 18	17 v 16
20 v 11	3 v 5	6 v 2	24 v 7	8 v 23	22 v 9	10 v 21	1 v 4	12 v 19	18 v 13	14 v 17	16 v 15
21 v 8	2 v 4	5 v 24	23 v 6	7 v 22	3 v 1	9 v 20	19 v 10	11 v 18	17 v 12	13 v 16	15 v 14
22 v 5	24 v 3	4 v 23	1 v 2	6 v 21	20 v 7	8 v 19	18 v 9	10 v 17	16 v 11	12 v 15	14 v 13
12 v 13	2 v 23	24 v 1	22 v 3	4 v 21	20 v 5	6 v 19	18 v 7	8 v 17	16 v 9	10 v 15	14 v 11
11 v 12	24 v 22	1 v 23	21 v 2	3 v 20	19 v 4	5 v 18	17 v 6	7 v 16	15 v 8	9 v 14	13 v 10
10 v 11	2 v 19	23 v 21	20 v 24	22 v 1	18 v 3	4 v 17	16 v 5	6 v 15	14 v 7	8 v 13	12 v 9
9 v 10	3 v 16	22 v 20	19 v 23	24 v 18	17 v 2	1 v 21	15 v 4	5 v 14	13 v 6	7 v 12	11 v 8
8 v 9	4 v 13	21 v 19	18 v 22	23 v 17	16 v 24	2 v 15	14 v 3	20 v 1	12 v 5	6 v 11	10 v 7
7 v 8	5 v 10	20 v 18	17 v 21	22 v 16	15 v 23	24 v 14	13 v 2	3 v 12	11 v 4	1 v 19	9 v 6
18 v 1	6 v 7	19 v 17	16 v 20	21 v 15	14 v 22	23 v 13	12 v 24	2 v 11	10 v 3	4 v 9	8 v 5
5 v 6	7 v 4	18 v 16	15 v 19	20 v 14	13 v 21	22 v 12	11 v 23	24 v 10	9 v 2	3 v 8	1 v 17
4 v 5	8 v 24	17 v 15	14 v 18	19 v 13	12 v 20	21 v 11	10 v 22	23 v 9	16 v 1	2 v 7	6 v 3
3 v 4	9 v 21	16 v 14	13 v 17	18 v 12	11 v 19	20 v 10	1 v 15	22 v 8	7 v 23	24 v 6	5 v 2
2 v 3	10 v 18	15 v 13	12 v 16	17 v 11	14 v 1	19 v 9	8 v 20	21 v 7	6 v 22	23 v 5	4 v 24
24 v 2	11 v 15	14 v 12	1 v 13	16 v 10	9 v 17	18 v 8	7 v 19	20 v 6	5 v 21	22 v 4	3 v 23
23 v 24	12 v 1	13 v 11	10 v 14	15 v 9	8 v 16	17 v 7	6 v 18	19 v 5	4 v 20	21 v 3	2 v 22
22 v 23	9 v 13	12 v 10	1 v 11	14 v 8	7 v 15	16 v 6	5 v 17	18 v 4	3 v 19	20 v 2	24 v 21
21 v 22	6 v 14	11 v 9	8 v 12	13 v 7	10 v 1	15 v 5	4 v 16	17 v 3	2 v 18	19 v 24	23 v 20
20 v 21	3 v 15	10 v 8	7 v 11	12 v 6	5 v 13	14 v 4	1 v 9	16 v 2	24 v 17	18 v 23	22 v 19
19 v 20	23 v 16	9 v 7	6 v 10	11 v 5	4 v 12	13 v 3	2 v 14	15 v 24	8 v 1	17 v 22	21 v 18
18 v 19	20 v 17	8 v 6	5 v 9	10 v 4	3 v 11	12 v 2	24 v 13	14 v 23	22 v 15	16 v 21	1 v 7
6 v 1	17 v 18	7 v 5	4 v 8	9 v 3	2 v 10	11 v 24	23 v 12	13 v 22	21 v 14	15 v 20	19 v 16
16 v 17	14 v 19	6 v 4	3 v 7	8 v 2	24 v 9	10 v 23	22 v 11	12 v 21	20 v 13	1 v 5	18 v 15
15 v 16	11 v 20	5 v 3	2 v 6	7 v 24	23 v 8	9 v 22	21 v 10	4 v 1	19 v 12	13 v 18	17 v 14
14 v 15	8 v 21	4 v 2	24 v 5	6 v 23	22 v 7	1 v 3	20 v 9	10 v 19	18 v 11	12 v 17	16 v 13
13 v 14	5 v 22	3 v 24	23 v 4	2 v 1	21 v 6	7 v 20	19 v 8	9 v 18	17 v 10	11 v 16	15 v 12
