9 v 2	18 v 16	19 v 15	20 v 14	21 v 13	22 v 12	23 v 11	24 v 10	17 v 1	3 v 8	4 v 7	5 v 6
17 v 24	10 v 8	11 v 7	12 v 6	13 v 5	14 v 4	15 v 3	16 v 2	1 v 9	18 v 23	19 v 22	20 v 21
24 v 3	2 v 1	4 v 23	5 v 22	6 v 21	7 v 20	8 v 19	9 v 18	10 v 17	11 v 16	12 v 15	13 v 14
7 v 8	20 v 18	21 v 17	22 v 16	23 v 15	24 v 14	2 v 13	3 v 12	4 v 11	5 v 10	6 v 9	1 v 19
15 v 7	12 v 10	13 v 9	14 v 8	1 v 11	16 v 6	17 v 5	18 v 4	19 v 3	20 v 2	21 v 24	22 v 23
19 v 18	8 v 6	9 v 5	10 v 4	11 v 3	12 v 2	13 v 24	14 v 23	15 v 22	16 v 21	17 v 20	7 v 1
4 v 17	23 v 21	24 v 20	2 v 19	3 v 18	1 v 22	5 v 16	6 v 15	7 v 14	8 v 13	9 v 12	10 v 11
11 v 19	16 v 14	17 v 13	18 v 12	15 v 1	20 v 10	21 v 9	22 v 8	23 v 7	24 v 6	2 v 5	3 v 4
18 v 21	9 v 7	10 v 6	11 v 5	12 v 4	13 v 3	14 v 2	15 v 24	16 v 23	17 v 22	1 v 8	19 v 20
6 v 11	21 v 19	22 v 18	23 v 17	24 v 16	2 v 15	3 v 14	4 v 13	5 v 12	1 v 20	7 v 10	8 v 9
20 v 15	7 v 5	8 v 4	9 v 3	10 v 2	11 v 24	12 v 23	13 v 22	14 v 21	6 v 1	16 v 19	17 v 18
8 v 5	19 v 17	20 v 16	21 v 15	22 v 14	23 v 13	24 v 12	2 v 11	3 v 10	4 v 9	18 v 1	6 v 7
2 v 23	1 v 24	3 v 22	4 v 21	5 v 20	6 v 19	7 v 18	8 v 17	9 v 16	10 v 15	11 v 14	12 v 13
16 v 4	11 v 9	12 v 8	13 v 7	14 v 6	15 v 5	1 v 10	17 v 3	18 v 2	19 v 24	20 v 23	21 v 22
5 v 14	22 v 20	23 v 19	24 v 18	2 v 17	3 v 16	4 v 15	1 v 21	6 v 13	7 v 12	8 v 11	9 v 10
21 v 12	6 v 4	7 v 3	8 v 2	9 v 24	10 v 23	11 v 22	5 v 1	13 v 20	14 v 19	15 v 18	16 v 17
12 v 16	15 v 13	14 v 1	17 v 11	18 v 10	19 v 9	20 v 8	21 v 7	22 v 6	23 v 5	24 v 4	2 v 3
10 v 22	17 v 15	18 v 14	19 v 13	20 v 12	21 v 11	16 v 1	23 v 9	24 v 8	2 v 7	3 v 6	4 v 5
22 v 9	5 v 3	6 v 2	7 v 24	8 v 23	4 v 1	10 v 21	11 v 20	12 v 19	13 v 18	14 v 17	15 v 16
14 v 10	13 v 11	1 v 12	15 v 9	16 v 8	17 v 7	18 v 6	19 v 5	20 v 4	21 v 3	22 v 2	23 v 24
3 v 20	24 v 22	2 v 21	1 v 23	4 v 19	5 v 18	6 v 17	7 v 16	8 v 15	9 v 14	10 v 13	11 v 12
23 v 6	4 v 2	5 v 24	3 v 1	7 v 22	8 v 21	9 v 20	10 v 19	11 v 18	12 v 17	13 v 16	14 v 15
1 v 13	14 v 12	15 v 11	16 v 10	17 v 9	18 v 8	19 v 7	20 v 6	21 v 5	22 v 4	23 v 3	24 v 2
6 v 5	2 v 9	16 v 18	15 v 19	14 v 20	13 v 21	12 v 22	11 v 23	10 v 24	1 v 17	8 v 3	7 v 4
21 v 20	24 v 17	8 v 10	7 v 11	6 v 12	5 v 13	4 v 14	3 v 15	2 v 16	9 v 1	23 v 18	22 v 19
14 v 13	3 v 24	1 v 2	23 v 4	22 v 5	21 v 6	20 v 7	19 v 8	18 v 9	17 v 10	16 v 11	15 v 12
19 v 1	8 v 7	18 v 20	17 v 21	16 v 22	15 v 23	14 v 24	13 v 2	12 v 3	11 v 4	10 v 5	9 v 6
23 v 22	7 v 15	10 v 12	9 v 13	8 v 14	11 v 1	6 v 16	5 v 17	4 v 18	3 v 19	2 v 20	24 v 21
1 v 7	18 v 19	6 v 8	5 v 9	4 v 10	3 v 11	2 v 12	24 v 13	23 v 14	22 v 15	21 v 16	20 v 17
