1 v 2	4 v 3	5 v 6	8 v 7	9 v 10	12 v 11	13 v 14
2 v 4	6 v 1	3 v 8	10 v 5	7 v 12	13 v 9	14 v 11
4 v 6	8 v 2	1 v 10	12 v 3	5 v 13	11 v 7	9 v 14
6 v 8	10 v 4	2 v 12	13 v 1	3 v 11	9 v 5	14 v 7
8 v 10	12 v 6	4 v 13	11 v 2	1 v 9	7 v 3	5 v 14
10 v 12	13 v 8	6 v 11	9 v 4	2 v 7	5 v 1	14 v 3
12 v 13	11 v 10	8 v 9	7 v 6	4 v 5	3 v 2	1 v 14
13 v 11	9 v 12	10 v 7	5 v 8	6 v 3	1 v 4	14 v 2
11 v 9	7 v 13	12 v 5	3 v 10	8 v 1	2 v 6	4 v 14
9 v 7	5 v 11	13 v 3	1 v 12	10 v 2	4 v 8	14 v 6
7 v 5	3 v 9	11 v 1	2 v 13	12 v 4	6 v 10	8 v 14
5 v 3	1 v 7	9 v 2	4 v 11	13 v 6	8 v 12	14 v 10
3 v 1	2 v 5	7 v 4	6 v 9	11 v 8	10 v 13	12 v 14
2 v 1	3 v 4	6 v 5	7 v 8	10 v 9	11 v 12	14 v 13
4 v 2	1 v 6	8 v 3	5 v 10	12 v 7	9 v 13	11 v 14
6 v 4	2 v 8	10 v 1	3 v 12	13 v 5	7 v 11	14 v 9
8 v 6	4 v 10	12 v 2	1 v 13	11 v 3	5 v 9	7 v 14
10 v 8	6 v 12	13 v 4	2 v 11	9 v 1	3 v 7	14 v 5
12 v 10	8 v 13	11 v 6	4 v 9	7 v 2	1 v 5	3 v 14
13 v 12	10 v 11	9 v 8	6 v 7	5 v 4	2 v 3	14 v 1
11 v 13	12 v 9	7 v 10	8 v 5	3 v 6	4 v 1	2 v 14
9 v 11	13 v 7	5 v 12	10 v 3	1 v 8	6 v 2	14 v 4
7 v 9	11 v 5	3 v 13	12 v 1	2 v 10	8 v 4	6 v 14
5 v 7	9 v 3	1 v 11	13 v 2	4 v 12	10 v 6	14 v 8
3 v 5	7 v 1	2 v 9	11 v 4	6 v 13	12 v 8	10 v 14
1 v 3	5 v 2	4 v 7	9 v 6	8 v 11	13 v 10	14 v 12
