1 v 2	4 v 3	5 v 6	8 v 7	9 v 10	12 v 11	13 v 14	16 v 15
2 v 4	6 v 1	3 v 8	10 v 5	7 v 12	14 v 9	11 v 15	13 v 16
4 v 6	8 v 2	1 v 10	12 v 3	5 v 14	15 v 7	9 v 13	16 v 11
6 v 8	10 v 4	2 v 12	14 v 1	3 v 15	13 v 5	7 v 11	9 v 16
8 v 10	12 v 6	4 v 14	15 v 2	1 v 13	11 v 3	5 v 9	16 v 7
10 v 12	14 v 8	6 v 15	13 v 4	2 v 11	9 v 1	3 v 7	5 v 16
12 v 14	15 v 10	8 v 13	11 v 6	4 v 9	7 v 2	1 v 5	16 v 3
14 v 15	13 v 12	10 v 11	9 v 8	6 v 7	5 v 4	2 v 3	1 v 16
15 v 13	11 v 14	12 v 9	7 v 10	8 v 5	3 v 6	4 v 1	16 v 2
13 v 11	9 v 15	14 v 7	5 v 12	10 v 3	1 v 8	6 v 2	4 v 16
11 v 9	7 v 13	15 v 5	3 v 14	12 v 1	2 v 10	8 v 4	16 v 6
9 v 7	5 v 11	13 v 3	1 v 15	14 v 2	4 v 12	10 v 6	8 v 16
7 v 5	3 v 9	11 v 1	2 v 13	15 v 4	6 v 14	12 v 8	16 v 10
5 v 3	1 v 7	9 v 2	4 v 11	13 v 6	8 v 15	14 v 10	12 v 16
3 v 1	2 v 5	7 v 4	6 v 9	11 v 8	10 v 13	15 v 12	16 v 14
2 v 1	3 v 4	6 v 5	7 v 8	10 v 9	11 v 12	14 v 13	15 v 16
4 v 2	1 v 6	8 v 3	5 v 10	12 v 7	9 v 14	15 v 11	16 v 13
6 v 4	2 v 8	10 v 1	3 v 12	14 v 5	7 v 15	13 v 9	11 v 16
8 v 6	4 v 10	12 v 2	1 v 14	15 v 3	5 v 13	11 v 7	16 v 9
10 v 8	6 v 12	14 v 4	2 v 15	13 v 1	3 v 11	9 v 5	7 v 16
12 v 10	8 v 14	15 v 6	4 v 13	11 v 2	1 v 9	7 v 3	16 v 5
14 v 12	10 v 15	13 v 8	6 v 11	9 v 4	2 v 7	5 v 1	3 v 16
15 v 14	12 v 13	11 v 10	8 v 9	7 v 6	4 v 5	3 v 2	16 v 1
13 v 15	14 v 11	9 v 12	10 v 7	5 v 8	6 v 3	1 v 4	2 v 16
11 v 13	15 v 9	7 v 14	12 v 5	3 v 10	8 v 1	2 v 6	16 v 4
9 v 11	13 v 7	5 v 15	14 v 3	1 v 12	10 v 2	4 v 8	6 v 16
7 v 9	11 v 5	3 v 13	15 v 1	2 v 14	12 v 4	6 v 10	16 v 8
5 v 7	9 v 3	1 v 11	13 v 2	4 v 15	14 v 6	8 v 12	10 v 16
3 v 5	7 v 1	2 v 9	11 v 4	6 v 13	15 v 8	10 v 14	16 v 12
1 v 3	5 v 2	4 v 7	9 v 6	8 v 11	13 v 10	12 v 15	14 v 16
