1 v 2	4 v 3	5 v 6	8 v 7	9 v 10	12 v 11	13 v 14	16 v 15	17 v 18
2 v 4	6 v 1	3 v 8	10 v 5	7 v 12	14 v 9	11 v 16	17 v 13	18 v 15
4 v 6	8 v 2	1 v 10	12 v 3	5 v 14	16 v 7	9 v 17	15 v 11	13 v 18
6 v 8	10 v 4	2 v 12	14 v 1	3 v 16	17 v 5	7 v 15	13 v 9	18 v 11
8 v 10	12 v 6	4 v 14	16 v 2	1 v 17	15 v 3	5 v 13	11 v 7	9 v 18
10 v 12	14 v 8	6 v 16	17 v 4	2 v 15	13 v 1	3 v 11	9 v 5	18 v 7
12 v 14	16 v 10	8 v 17	15 v 6	4 v 13	11 v 2	1 v 9	7 v 3	5 v 18
14 v 16	17 v 12	10 v 15	13 v 8	6 v 11	9 v 4	2 v 7	5 v 1	18 v 3
16 v 17	15 v 14	12 v 13	11 v 10	8 v 9	7 v 6	4 v 5	3 v 2	1 v 18
17 v 15	13 v 16	14 v 11	9 v 12	10 v 7	5 v 8	6 v 3	1 v 4	18 v 2
15 v 13	11 v 17	16 v 9	7 v 14	12 v 5	3 v 10	8 v 1	2 v 6	4 v 18
13 v 11	9 v 15	17 v 7	5 v 16	14 v 3	1 v 12	10 v 2	4 v 8	18 v 6
11 v 9	7 v 13	15 v 5	3 v 17	16 v 1	2 v 14	12 v 4	6 v 10	8 v 18
9 v 7	5 v 11	13 v 3	1 v 15	17 v 2	4 v 16	14 v 6	8 v 12	18 v 10
7 v 5	3 v 9	11 v 1	2 v 13	15 v 4	6 v 17	16 v 8	10 v 14	12 v 18
5 v 3	1 v 7	9 v 2	4 v 11	13 v 6	8 v 15	17 v 10	12 v 16	18 v 14
3 v 1	2 v 5	7 v 4	6 v 9	11 v 8	10 v 13	15 v 12	14 v 17	16 v 18
2 v 1	3 v 4	6 v 5	7 v 8	10 v 9	11 v 12	14 v 13	15 v 16	18 v 17
4 v 2	1 v 6	8 v 3	5 v 10	12 v 7	9 v 14	16 v 11	13 v 17	15 v 18
6 v 4	2 v 8	10 v 1	3 v 12	14 v 5	7 v 16	17 v 9	11 v 15	18 v 13
8 v 6	4 v 10	12 v 2	1 v 14	16 v 3	5 v 17	15 v 7	9 v 13	11 v 18
10 v 8	6 v 12	14 v 4	2 v 16	17 v 1	3 v 15	13 v 5	7 v 11	18 v 9
12 v 10	8 v 14	16 v 6	4 v 17	15 v 2	1 v 13	11 v 3	5 v 9	7 v 18
14 v 12	10 v 16	17 v 8	6 v 15	13 v 4	2 v 11	9 v 1	3 v 7	18 v 5
16 v 14	12 v 17	15 v 10	8 v 13	11 v 6	4 v 9	7 v 2	1 v 5	3 v 18
17 v 16	14 v 15	13 v 12	10 v 11	9 v 8	6 v 7	5 v 4	2 v 3	18 v 1
15 v 17	16 v 13	11 v 14	12 v 9	7 v 10	8 v 5	3 v 6	4 v 1	2 v 18
13 v 15	17 v 11	9 v 16	14 v 7	5 v 12	10 v 3	1 v 8	6 v 2	18 v 4
11 v 13	15 v 9	7 v 17	16 v 5	3 v 14	12 v 1	2 v 10	8 v 4	6 v 18
9 v 11	13 v 7	5 v 15	17 v 3	1 v 16	14 v 2	4 v 12	10 v 6	18 v 8
7 v 9	11 v 5	3 v 13	15 v 1	2 v 17	16 v 4	6 v 14	12 v 8	10 v 18
5 v 7	9 v 3	1 v 11	13 v 2	4 v 15	17 v 6	8 v 16	14 v 10	18 v 12
3 v 5	7 v 1	2 v 9	11 v 4	6 v 13	15 v 8	10 v 17	16 v 12	14 v 18
1 v 3	5 v 2	4 v 7	9 v 6	8 v 11	13 v 10	12 v 15	17 v 14	18 v 16
