1 v 12	11 v 2	3 v 10	9 v 4	5 v 8	7 v 6	14 v 13
13 v 11	10 v 1	2 v 9	8 v 3	4 v 7	6 v 5	12 v 14
12 v 10	9 v 13	1 v 8	7 v 2	3 v 6	5 v 4	14 v 11
11 v 9	8 v 12	13 v 7	6 v 1	2 v 5	4 v 3	10 v 14
10 v 8	7 v 11	12 v 6	5 v 13	1 v 4	3 v 2	14 v 9
9 v 7	6 v 10	11 v 5	4 v 12	13 v 3	2 v 1	8 v 14
8 v 6	5 v 9	10 v 4	3 v 11	12 v 2	1 v 13	14 v 7
7 v 5	4 v 8	9 v 3	2 v 10	11 v 1	13 v 12	6 v 14
6 v 4	3 v 7	8 v 2	1 v 9	10 v 13	12 v 11	14 v 5
5 v 3	2 v 6	7 v 1	13 v 8	9 v 12	11 v 10	4 v 14
4 v 2	1 v 5	6 v 13	12 v 7	8 v 11	10 v 9	14 v 3
3 v 1	13 v 4	5 v 12	11 v 6	7 v 10	9 v 8	2 v 14
13 v 2	12 v 3	4 v 11	10 v 5	6 v 9	8 v 7	1 v 14
12 v 1	2 v 11	10 v 3	4 v 9	8 v 5	6 v 7	13 v 14
11 v 13	1 v 10	9 v 2	3 v 8	7 v 4	5 v 6	14 v 12
10 v 12	13 v 9	8 v 1	2 v 7	6 v 3	4 v 5	11 v 14
9 v 11	12 v 8	7 v 13	1 v 6	5 v 2	3 v 4	14 v 10
8 v 10	11 v 7	6 v 12	13 v 5	4 v 1	2 v 3	9 v 14
7 v 9	10 v 6	5 v 11	12 v 4	3 v 13	1 v 2	14 v 8
6 v 8	9 v 5	4 v 10	11 v 3	2 v 12	13 v 1	7 v 14
5 v 7	8 v 4	3 v 9	10 v 2	1 v 11	12 v 13	14 v 6
4 v 6	7 v 3	2 v 8	9 v 1	13 v 10	11 v 12	5 v 14
3 v 5	6 v 2	1 v 7	8 v 13	12 v 9	10 v 11	14 v 4
2 v 4	5 v 1	13 v 6	7 v 12	11 v 8	9 v 10	3 v 14
1 v 3	4 v 13	12 v 5	6 v 11	10 v 7	8 v 9	14 v 2
2 v 13	3 v 12	11 v 4	5 v 10	9 v 6	7 v 8	14 v 1
