1 v 16	15 v 2	3 v 14	13 v 4	5 v 12	11 v 6	7 v 10	9 v 8	18 v 17
17 v 15	14 v 1	2 v 13	12 v 3	4 v 11	10 v 5	6 v 9	8 v 7	16 v 18
16 v 14	13 v 17	1 v 12	11 v 2	3 v 10	9 v 4	5 v 8	7 v 6	18 v 15
15 v 13	12 v 16	17 v 11	10 v 1	2 v 9	8 v 3	4 v 7	6 v 5	14 v 18
14 v 12	11 v 15	16 v 10	9 v 17	1 v 8	7 v 2	3 v 6	5 v 4	18 v 13
13 v 11	10 v 14	15 v 9	8 v 16	17 v 7	6 v 1	2 v 5	4 v 3	12 v 18
12 v 10	9 v 13	14 v 8	7 v 15	16 v 6	5 v 17	1 v 4	3 v 2	18 v 11
11 v 9	8 v 12	13 v 7	6 v 14	15 v 5	4 v 16	17 v 3	2 v 1	10 v 18
10 v 8	7 v 11	12 v 6	5 v 13	14 v 4	3 v 15	16 v 2	1 v 17	18 v 9
9 v 7	6 v 10	11 v 5	4 v 12	13 v 3	2 v 14	15 v 1	17 v 16	8 v 18
8 v 6	5 v 9	10 v 4	3 v 11	12 v 2	1 v 13	14 v 17	16 v 15	18 v 7
7 v 5	4 v 8	9 v 3	2 v 10	11 v 1	17 v 12	13 v 16	15 v 14	6 v 18
6 v 4	3 v 7	8 v 2	1 v 9	10 v 17	16 v 11	12 v 15	14 v 13	18 v 5
5 v 3	2 v 6	7 v 1	17 v 8	9 v 16	15 v 10	11 v 14	13 v 12	4 v 18
4 v 2	1 v 5	6 v 17	16 v 7	8 v 15	14 v 9	10 v 13	12 v 11	18 v 3
3 v 1	17 v 4	5 v 16	15 v 6	7 v 14	13 v 8	9 v 12	11 v 10	2 v 18
17 v 2	16 v 3	4 v 15	14 v 5	6 v 13	12 v 7	8 v 11	10 v 9	1 v 18
16 v 1	2 v 15	14 v 3	4 v 13	12 v 5	6 v 11	10 v 7	8 v 9	17 v 18
15 v 17	1 v 14	13 v 2	3 v 12	11 v 4	5 v 10	9 v 6	7 v 8	18 v 16
14 v 16	17 v 13	12 v 1	2 v 11	10 v 3	4 v 9	8 v 5	6 v 7	15 v 18
13 v 15	16 v 12	11 v 17	1 v 10	9 v 2	3 v 8	7 v 4	5 v 6	18 v 14
12 v 14	15 v 11	10 v 16	17 v 9	8 v 1	2 v 7	6 v 3	4 v 5	13 v 18
11 v 13	14 v 10	9 v 15	16 v 8	7 v 17	1 v 6	5 v 2	3 v 4	18 v 12
10 v 12	13 v 9	8 v 14	15 v 7	6 v 16	17 v 5	4 v 1	2 v 3	11 v 18
9 v 11	12 v 8	7 v 13	14 v 6	5 v 15	16 v 4	3 v 17	1 v 2	18 v 10
8 v 10	11 v 7	6 v 12	13 v 5	4 v 14	15 v 3	2 v 16	17 v 1	9 v 18
7 v 9	10 v 6	5 v 11	12 v 4	3 v 13	14 v 2	1 v 15	16 v 17	18 v 8
6 v 8	9 v 5	4 v 10	11 v 3	2 v 12	13 v 1	17 v 14	15 v 16	7 v 18
5 v 7	8 v 4	3 v 9	10 v 2	1 v 11	12 v 17	16 v 13	14 v 15	18 v 6
4 v 6	7 v 3	2 v 8	9 v 1	17 v 10	11 v 16	15 v 12	13 v 14	5 v 18
3 v 5	6 v 2	1 v 7	8 v 17	16 v 9	10 v 15	14 v 11	12 v 13	18 v 4
2 v 4	5 v 1	17 v 6	7 v 16	15 v 8	9 v 14	13 v 10	11 v 12	3 v 18
1 v 3	4 v 17	16 v 5	6 v 15	14 v 7	8 v 13	12 v 9	10 v 11	18 v 2
2 v 17	3 v 16	15 v 4	5 v 14	13 v 6	7 v 12	11 v 8	9 v 10	18 v 1
