1 v 2	3 v 4	5 v 6	7 v 8	9 v 10	11 v 12	13 v 14
14 v 1	2 v 3	4 v 5	6 v 7	8 v 9	10 v 11	12 v 13
1 v 13	14 v 2	3 v 4	5 v 6	7 v 8	9 v 10	11 v 12
12 v 1	13 v 14	2 v 3	4 v 5	6 v 7	8 v 9	10 v 11
1 v 11	12 v 13	14 v 2	3 v 4	5 v 6	7 v 8	9 v 10
10 v 1	11 v 12	13 v 14	2 v 3	4 v 5	6 v 7	8 v 9
1 v 9	10 v 11	12 v 13	14 v 2	3 v 4	5 v 6	7 v 8
8 v 1	9 v 10	11 v 12	13 v 14	2 v 3	4 v 5	6 v 7
1 v 7	8 v 9	10 v 11	12 v 13	14 v 2	3 v 4	5 v 6
6 v 1	7 v 8	9 v 10	11 v 12	13 v 14	2 v 3	4 v 5
1 v 5	6 v 7	8 v 9	10 v 11	12 v 13	14 v 2	3 v 4
4 v 1	5 v 6	7 v 8	9 v 10	11 v 12	13 v 14	2 v 3
1 v 3	4 v 5	6 v 7	8 v 9	10 v 11	12 v 13	14 v 2
2 v 1	4 v 3	6 v 5	8 v 7	10 v 9	12 v 11	14 v 13
1 v 14	3 v 2	5 v 4	7 v 6	9 v 8	11 v 10	13 v 12
13 v 1	2 v 14	4 v 3	6 v 5	8 v 7	10 v 9	12 v 11
1 v 12	14 v 13	3 v 2	5 v 4	7 v 6	9 v 8	11 v 10
11 v 1	13 v 12	2 v 14	4 v 3	6 v 5	8 v 7	10 v 9
1 v 10	12 v 11	14 v 13	3 v 2	5 v 4	7 v 6	9 v 8
9 v 1	11 v 10	13 v 12	2 v 14	4 v 3	6 v 5	8 v 7
1 v 8	10 v 9	12 v 11	14 v 13	3 v 2	5 v 4	7 v 6
7 v 1	9 v 8	11 v 10	13 v 12	2 v 14	4 v 3	6 v 5
1 v 6	8 v 7	10 v 9	12 v 11	14 v 13	3 v 2	5 v 4
5 v 1	7 v 6	9 v 8	11 v 10	13 v 12	2 v 14	4 v 3
1 v 4	6 v 5	8 v 7	10 v 9	12 v 11	14 v 13	3 v 2
3 v 1	5 v 4	7 v 6	9 v 8	11 v 10	13 v 12	2 v 14
